Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
23	:	1749588649.347	 30552.534	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_23 'manhattan_100_10_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
29	:	1749588652.379	 30947.240	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_29 'manhattan_100_12_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
25	:	1749588650.358	 31204.924	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_25 'manhattan_100_11_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
27	:	1749588651.369	 31545.161	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_27 'manhattan_100_11_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
24	:	1749588649.849	 31629.141	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_24 'manhattan_100_10_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
31	:	1749588653.380	 31683.594	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_31 'manhattan_100_12_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
30	:	1749588652.881	 31700.411	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_30 'manhattan_100_12_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
33	:	1749588654.388	 31874.980	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_33 'manhattan_100_14_5000_0_10_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
42	:	1749588658.935	 32016.367	0	466	0	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_42 'manhattan_100_17_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_10_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
40	:	1749588657.924	 32322.894	0	527	1	0	scripts/queue_job.sh 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART_40 'manhattan_100_16_5000_0_15_False_0_[0.5_1_1.5]_[1_2_3]_20_25.csv' 3600_60_True_True_True_True_True_False.csv 0906_1538_ALGO_PERFORMANCE_FUTURE_PAPER_NO_SHORTCUTS_SECOND_PART
